Date,Open,High,Low,Close,Volume
2021-12-31,177.06,178.196,176.233,176.541,64434063.024741
2021-12-30,178.436,179.532,177.06,177.169,60119922.990096
2021-12-29,178.296,179.592,177.11,178.346,62710789.656362
2021-12-28,179.124,180.28,177.499,178.256,79603673.878836
2021-12-27,176.063,179.382,176.043,179.294,75354398.092382
2021-12-23,174.837,175.823,174.259,175.265,68753292.536172
2021-12-22,172.046,174.847,171.158,174.627,92670033.876368
2021-12-21,170.57,172.204,168.137,171.996,91715127.06345
2021-12-20,167.309,169.593,166.492,168.765,108123013.43728
2021-12-17,168.945,172.474,168.705,170.151,197060534.97306
2021-12-16,178.246,180.09,169.762,171.268,151057486.53067
2021-12-15,174.099,178.466,171.318,178.266,131823917.42937
2021-12-14,174.239,176.711,171.218,173.321,140189313.08331
2021-12-13,180.06,181.078,174.518,174.727,154126370.81914
2021-12-10,174.189,178.596,173.68,178.416,116072501.34132
2021-12-09,173.9,175.733,172.922,173.551,109555906.77784
2021-12-08,171.138,174.947,169.712,174.069,117677934.36445
2021-12-07,168.097,170.59,167.369,170.191,121104156.29473
2021-12-06,163.342,166.911,163.332,164.368,108120869.91897
2021-12-03,163.072,164.01,158.806,160.899,118708094.01664
2021-12-02,157.818,163.252,156.892,162.813,137532775.71649
2021-12-01,166.512,169.313,163.581,163.82,153307630.07888
2021-11-30,159.065,164.568,159.005,164.348,175058190.19513
2021-11-29,158.457,160.251,157.878,159.324,89263290.178202
2021-11-26,158.646,159.523,155.456,155.904,77406408.128761
2021-11-24,159.823,161.199,158.726,160.999,69866773.563528
2021-11-23,160.181,160.859,158.148,160.471,96599304.546935
2021-11-22,160.739,164.748,160.071,160.091,118149644.80692
2021-11-19,156.742,160.091,155.625,159.623,117986411.42423
2021-11-18,152.814,157.759,152.176,156.962,138627591.98546
2021-11-17,150.122,154.1,150.122,152.605,89322414.973069
2021-11-16,149.076,150.62,148.477,150.132,59600118.295976
2021-11-15,149.504,151.009,148.567,149.135,59566518.119906
2021-11-12,147.57,149.534,146.623,149.126,64174311.135213
2021-11-11,148.098,148.567,146.822,147.011,41237903.930861
2021-11-10,149.155,149.264,146.991,147.061,65565422.419112
2021-11-09,149.334,150.561,149.195,149.942,57117513.848462
2021-11-08,150.541,150.7,149.294,149.574,55340196.13455
2021-11-05,151.019,151.328,149.195,150.411,65843820.009069
2021-11-04,150.491,151.338,149.554,149.872,60833787.809128
2021-11-03,149.304,150.88,148.736,150.402,54907925.626508
2021-11-02,147.58,150.481,147.57,148.936,69624621.193055
2021-11-01,147.909,148.616,146.723,147.879,75130641.662835
2021-10-29,146.145,148.856,145.357,148.716,125861790.96931
2021-10-28,148.736,152.066,148.636,151.478,100805624.70798
